"codename","en_name","cn_name","en_description","cn_description"
"booster_pack","Booster Pack","增强包","A booster pack released as a subset of a larger release.","作为大版本的子集发布的补充卡包。"
"campaign","Campaign","战役","A campaign set not released for legal play.","不可用于正式对战的战役卡包。"
"core","Core","核心包","A core set, or set that makes up part of the core selection of cards.","核心卡包，或从核心精选卡牌中挑选一部分组成的卡包。"
"data_pack","Data Pack","数据包","The major releases of each cycle.","每个循环中主要发布的卡包。"
"deluxe","Deluxe","豪华包","A non-core set released in a big box.","以大盒形式发布的非核心卡包。"
"draft","Draft","草案","A draft-exclusive sets.","草案专用卡包。"
"expansion","Expansion","扩展","A miscellaneous set released for legal play.","可用于正式对战的混合卡包。"
"promo","Promo","宣传","A promotional set not released for legal play.","不可用于正式对战的宣传卡包。"
